Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Employee Count,Last Funding Amount,Number of Investors in Seed,Number of of repeat investors,Focus on consumer data?,Machine Learning based business,Predictive Analytics business,Online or offline venture - physical location based business or online venture?,Solutions offered,Number of Direct competitors,"Avg time to investment - average across all rounds, measured from previous investment",Renown score,
Company42,Success,5,69,3,,2,0,Yes,Yes,Yes,Online,Yes,5,10,5,
Company43,Success,3,374,57,60000,1,0,No,Yes,No,Online,No,3,12,2,
Company44,Success,6,40,12,2517424,0,1,Yes,No,Yes,Online,Yes,0,4,9,
Company45,Success,2,,,,5,3,No,No,No,Both,No,3,8,8,
Company46,Success,4,-24,25,1750000,0,0,Yes,No,No,Online,Yes,0,7,2,
Company47,Success,3,295,35,3000000,0,0,No,No,No,Online,Yes,0,3,6,
Company48,Success,11,111,267,30000000,No Info,0,Yes,No,Yes,Online,Yes,0,24,0,
Company49,Success,14,160,594,25000000,No Info,0,Yes,No,Yes,Offline,Yes,0,156,1,
Company50,Failed,No Info,0,,11000000,0,3,Yes,Yes,No,Online,No,3,1,5,
Company51,Success,3,805,23,4000000,0,2,No,No,No,Online,Yes,0,4.583333333,3,
Company52,Success,5,-129,50,13000000,0,3,Yes,Yes,Yes,Offline,Yes,0,7.733333333,0,
Company53,Success,5,416,,1070901,0,4,No,Yes,Yes,Online,No,0,4.9,9,
Company54,Success,7,,,,0,5,No,Yes,Yes,Online,Yes,3,6.466666667,6,
Company55,Success,2,888,38,6500000,10,2,No,No,No,Online,No,0,4.183333333,4,
Company56,Success,3,524,,,3,1,No,No,No,Online,No,0,3.3,0,
Company57,Success,6,16,,,0,0,No,No,No,Online,Yes,0,24,4,
Company58,Success,2,272,24,1000000,1,0,Yes,No,No,Online,Yes,0,4.716666667,0,
Company59,Success,2,,,,0,0,Yes,No,No,Offline,Yes,0,16,7,
Company60,Success,2,124,13,2000000,2,0,Yes,No,No,Online,No,0,3.322222222,6,
Company61,Success,5,409,22,3900000,0,2,No,No,No,Online,No,0,12.74444444,4,
Company62,Success,2,51,,4100000,10,0,No,No,No,Online,No,0,3.983333333,0,
Company63,Success,2,388,17,750000,0,0,No,No,No,Online,No,0,10,1,
Company64,Success,2,315,3,,1,0,No,No,No,Online,No,0,4,4,
Company65,Success,2,,,,1,0,No,No,No,Online,No,2,1,1,
Company66,Success,7,,,,0,0,No,No,No,Online,Yes,0,75,4,
Company67,Success,5,157,43,,0,0,No,No,No,Online,No,0,9.466666667,8,
Company68,Success,2,133,,,0,0,Yes,No,No,Online,No,0,20,1,
Company69,Success,1,408,,62000,1,0,No,No,No,Online,No,0,6,4,
Company70,Success,3,239,,10000,2,0,Yes,No,Yes,Online,Yes,0,32,0,
Company71,Success,5,43,6,425000,0,0,Yes,No,Yes,Online,No,2,1,2,
Company72,Success,3,8,,125000,1,0,Yes,No,Yes,Online,No,0,4,0,
Company73,Success,2,217,2,30000,0,0,Yes,No,Yes,Online,Yes,0,12,3,
Company74,Success,4,64,,25000,2,0,No,No,No,Online,No,0,2.25,0,
Company75,Success,1,181,9,135000,2,0,No,No,Yes,Offline,No,4,5,1,
Company76,Success,2,-34,7,110000,0,0,Yes,No,No,Online,No,0,2,4,
Company77,Success,2,14,13,,2,1,No,No,No,Online,No,3,7,2,
Company78,Success,2,398,11,,0,0,Yes,Yes,Yes,Online,No,4,1,4,
Company79,Success,4,372,41,1300000,3,0,Yes,Yes,No,Online,No,0,12,7,
Company80,Success,4,-8,,,0,0,No,Yes,Yes,Online,Yes,0,1,2,
Company81,Success,4,263,18,1900000,2,0,No,Yes,Yes,Online,No,33,45,1,
Company82,Success,2,1,,,0,0,No,Yes,Yes,Online,Yes,20,5,6,
Company83,Success,3,42,11,800000,0,0,No,Yes,Yes,Online,No,25,1,3,
Company84,Success,3,138,14,1000000,2,0,No,Yes,Yes,Online,Yes,0,35,6,
Company85,Success,3,401,18,1800000,2,0,No,Yes,Yes,Online,Yes,2,3.283333333,0,
Company86,Success,3,-77,,50000,1,0,No,Yes,Yes,Online,Yes,12,12,2,
Company87,Success,4,-103,6,50000,2,0,No,Yes,Yes,Online,Yes,2,7.583333333,5,
Company88,Success,5,-2,20,3000000,0,0,No,No,No,Online,No,0,16.53333333,7,
Company89,Success,3,261,,200000,6,1,No,Yes,Yes,Online,Yes,0,6.222222222,2,
Company90,Success,1,763,10,1500000,9,0,No,Yes,No,Online,Yes,0,6.95,3,
Company91,Success,4,-13,6,1700000,0,0,Yes,No,No,Online,Yes,6,1,1,
Company92,Success,3,293,28,1300000,0,0,Yes,Yes,No,Offline,No,7,9,3,
Company93,Success,4,126,25,1100000,0,0,No,No,No,Offline,Yes,0,45,3,
Company94,Success,7,9,,,0,0,Yes,No,No,Offline,Yes,0,70,0,
Company95,Success,12,123,31,7500000,0,0,Yes,No,Yes,Offline,Yes,0,15.48888889,4,
Company96,Success,3,53,8,50000,3,0,No,No,No,Offline,Yes,0,4.966666667,3,
Company97,Success,2,504,,,2,0,Yes,No,No,Online,No,0,12,0,
Company98,Success,2,661,,,1,0,Yes,No,Yes,Online,Yes,0,12,0,
Company99,Success,2,,,,1,0,No,No,No,Online,Yes,0,24,4,
Company100,Success,2,220,6,,3,0,Yes,No,No,Online,Yes,0,17,2,
Company101,Success,2,,,,4,2,No,No,No,Online,Yes,1,3.066666667,0,
Company102,Success,2,-2,6,125000,0,0,Yes,No,Yes,Online,Yes,0,1,0,
Company103,Success,4,-34,16,5000000,0,0,No,Yes,Yes,Online,Yes,0,47,0,
Company104,Success,5,-26,,50000,1,0,Yes,No,No,Offline,Yes,3,1,1,
Company105,Success,5,265,13,500000,2,0,Yes,No,No,Online,No,15,10.24444444,5,
Company106,Success,2,-2,,50000,3,0,No,No,No,Online,No,5,6,0,
Company107,Success,6,98,12,100000,3,1,Yes,No,No,Online,Yes,0,2.566666667,3,
Company108,Success,3,338,12,175000,22,2,No,No,Yes,Online,No,0,6.483333333,4,
Company109,Success,4,-46,,,1,0,Yes,No,No,Online,Yes,0,1.242857143,7,
Company110,Success,4,16,4,,1,0,Yes,No,No,Online,No Info,0,2,0,
Company111,Success,4,361,8,500000,3,0,Yes,No,Yes,Online,Yes,5,4,0,
Company112,Success,2,98,17,,5,0,No,No,No,Online,Yes,0,6,6,
Company113,Success,4,,,,4,0,Yes,Yes,Yes,Online,No,0,12,0,
Company114,Success,2,161,21,1100000,8,0,Yes,No,Yes,Online,Yes,0,10,4,
Company115,Success,5,230,8,650000,6,0,Yes,No,Yes,Both,Yes,0,12,2,
Company116,Success,1,,,,1,0,Yes,No,No,Online,No,0,6,0,
Company117,Success,3,528,12,750000,3,0,Yes,No,No,Online,Yes,0,6,5,
Company118,Success,5,512,14,17000000,0,0,No,No,No,Online,No,0,11.51666667,5,
Company119,Success,9,78,32,10000000,0,3,No,No,No,Online,No,0,10.03333333,1,
Company120,Success,6,150,22,3500000,1,0,Yes,No,No,Online,No,5,20,5,
Company121,Success,2,129,16,1700000,0,0,Yes,No,Yes,Online,No,0,15,5,
Company122,Success,4,-4,12,7000000,1,0,Yes,Yes,Yes,Online,Yes,0,9.233333333,7,
Company123,Success,3,29,5,,0,0,Yes,No,No,Online,Yes,0,12,7,
Company124,Success,4,-68,35,11000000,0,1,Yes,No,No,Online,Yes,0,6.233333333,9,
Company125,Success,3,266,37,35000000,0,1,No,No,No,Online,Yes,0,10.27777778,5,
Company126,Success,3,70,9,50000,0,0,Yes,Yes,No,Both,Yes,0,5.355555556,0,
Company127,Success,8,113,138,9400000,0,2,Yes,No,Yes,Online,Yes,8,18.1,0,
Company128,Success,3,147,11,1700000,0,0,Yes,No,Yes,Online,Yes,0,4.3,4,
Company129,Success,No Info,62,16,,0,0,No,No,No,Online,Yes,0,6,0,
Company130,Success,15,150,178,6100000,0,0,Yes,No,Yes,Online,Yes,0,5.344444444,2,
Company131,Success,6,429,73,16000000,0,3,Yes,No,Yes,Online,Yes,2,7.306666667,0,
Company132,Success,8,-385,118,13000000,0,1,Yes,No,No,Online,Yes,2,5.777777778,1,
Company133,Success,2,96,10,,0,0,Yes,No,Yes,Online,Yes,0,1,2,
Company134,Success,4,81,22,2000000,0,0,Yes,Yes,No,Online,No,4,7.45,2,
Company135,Success,2,627,4,,0,0,No,No,No,Online,Yes,0,8,4,
Company136,Failed,10,0,12,62500000,0,0,Yes,No,No,Online,Yes,0,5,4,
Company137,Failed,14,0,18,15000000,0,0,No,No,No,Offline,Yes,0,7.4,5,
Company138,Failed,10,-445,79,5000000,0,0,No,No,No,Online,No,28,17.58333333,1,
Company139,Failed,9,-91,3,25000000,0,0,Yes,Yes,No,Online,Yes,4,6.85,0,
Company140,Failed,5,-69,,5000000,0,1,No,No,No,Online,Yes,9,2.761111111,3,
Company141,Failed,9,-46,,,0,0,No,No,No,Online,Yes,0,5.05,3,
Company142,Failed,6,14,35,,0,0,No,No,No,Offline,No,0,1,7,
Company143,Failed,2,16,1,,0,0,No,No,No,Online,Yes,0,1,3,
Company144,Failed,3,107,0,1000000,5,5,No,No,No,Online,No,0,2.711111111,2,
Company145,Failed,4,-77,19,800000,9,0,No,No,No,Online,Yes,1,7.1,3,
Company146,Failed,6,-535,5,2300000,0,0,Yes,No,No,Online,No,1,26.25,0,
Company147,Failed,7,-8,1,1500000,0,1,No,No,No,Online,Yes,6,11.88333333,5,
Company148,Failed,8,,,,0,0,No,No,No,Online,No,4,1,3,
Company149,Success,5,,,,0,1,No,No,No,Online,Yes,3,4.011111111,6,
Company150,Failed,8,8,0,1000000,0,0,No,No,No,Online,No,0,26,5,
Company151,Failed,7,-9,,10000000,0,0,No,Yes,Yes,Online,Yes,1,8,6,
Company152,Success,9,50,26,10000000,0,1,Yes,No,No,Online,No,2,1.633333333,2,
Company153,Failed,No Info,,,,0,1,No,No,No,Online,Yes,8,1,0,
Company154,Failed,4,,,,1,0,No,No,No,Offline,No,0,1,2,
Company155,Success,2,205,48,8000000,0,0,Yes,No,No,Both,No,0,20,0,
Company156,Success,7,120,,43000000,0,4,Yes,No,No,Both,No,12,5.695238095,5,
Company157,Success,7,-69,55,20000000,0,6,No,No,No,Online,No,0,8.877777778,0,
Company158,Success,1,,,,0,0,Yes,Yes,Yes,Both,No,0,12,0,
Company159,Failed,7,17,,4300000,0,0,No,No,No,Online,No,1,14,3,
Company160,Failed,7,,,,0,0,No,Yes,Yes,Online,No,1,No Info,0,
Company161,Success,7,1535,,5000000,0,0,No,Yes,Yes,Online,Yes,0,72,1,
Company162,Success,1,120,5,3700000,0,4,No,No,Yes,Online,No,0,6.366666667,6,
Company163,Success,7,355,103,7800000,0,3,No,Yes,Yes,Online,Yes,0,12,0,
Company164,Success,5,,,,4,0,Yes,No,No,Offline,No,0,7.616666667,4,
Company165,Success,1,294,4,1000000,1,0,No,Yes,Yes,Online,No,0,1.677777778,4,
Company166,Success,3,221,26,6000000,9,3,Yes,No,No,Online,No,4,8,4,
Company167,Success,2,334,36,18000000,0,1,No,Yes,Yes,Both,No,0,3.6,1,
Company168,Success,7,84,20,1500000,0,0,No,No,No,Online,No,3,36,8,
Company169,Success,5,237,38,4499999,2,3,No,Yes,Yes,Offline,No,0,10.725,2,
Company170,Failed,7,,,,0,0,No,No,No,Online,Yes,1,1,4,
Company171,Success,4,616,6,1000000,5,0,No,Yes,Yes,Online,No,0,37,0,
Company172,Failed,No Info,3,,4000000,0,0,No,No,No,Online,Yes,6,No Info,7,
Company173,Success,2,137,24,15000000,0,1,No,No,No,Offline,No,0,8.016666667,1,
Company174,Success,12,83,,6000000,0,0,No,No,No,Offline,No,0,1,7,
Company175,Success,4,191,6,,0,0,No,Yes,Yes,Offline,No,0,6.244444444,8,
Company176,Success,2,23,3,20000,1,0,Yes,No,No,Online,Yes,0,No Info,5,
Company177,Success,5,56,15,4250000,3,2,Yes,No,No,Online,No,3,12,8,
Company178,Success,6,246,65,30600000,1,2,Yes,Yes,No,Online,Yes,0,4,1,
Company179,Success,3,299,41,24000000,3,2,Yes,No,Yes,Online,Yes,10,24,2,
Company180,Success,4,-100,12,200000,17,10,Yes,No,No,Online,No,4,6,8,
Company181,Success,2,143,,1017026,1,0,Yes,No,Yes,Online,No,4,10,0,
Company182,Success,4,-69,7,,12,0,Yes,No,Yes,Online,Yes,3,No Info,9,
Company183,Success,3,398,11,,9,0,Yes,No,Yes,Online,Yes,5,No Info,0,
Company184,Success,2,193,,,5,0,Yes,Yes,No,Online,Yes,2,No Info,0,
Company185,Success,2,123,,400000,1,5,Yes,No,No,Online,Yes,3,12,3,
Company186,Success,4,0,,535000,11,0,Yes,No,No,Online,No,3,12,8,
Company187,Success,2,53,4,,3,0,No,No,Yes,Online,Yes,2,6,4,
Company188,Success,3,143,9,,1,1,Yes,Yes,No,Offline,Yes,2,No Info,0,
Company189,Success,3,268,15,4500000,5,0,Yes,No,Yes,Online,Yes,5,8,0,
Company190,Success,3,28,41,16000000,0,2,Yes,No,Yes,Online,Yes,5,8,1,
Company191,Success,7,149,17,4000000,3,1,Yes,No,No,Online,Yes,2,8,2,
Company192,Success,3,448,15,1700000,3,1,Yes,No,No,Online,No,5,6,9,
Company193,Success,2,0,1,15000000,0,1,Yes,No,No,Online,No,7,9,7,
Company194,Success,3,162,30,21000000,0,3,Yes,No,No,Online,Yes,2,12,3,
Company195,Success,1,286,41,4200000,0,0,Yes,No,Yes,Online,No,2,6,1,
Company196,Success,2,1,19,7000000,1,2,Yes,No,Yes,Online,No,1,7,0,
Company197,Success,3,270,27,10000000,0,3,No,No,No,Online,No,3,8,8,
Company198,Success,2,299,30,3000000,3,3,Yes,Yes,No,Online,Yes,4,12,1,
Company199,Success,3,291,8,3150000,7,1,Yes,No,No,Online,No,3,18,5,
Company200,Success,5,456,89,19000000,0,3,No,No,No,Online,No,3,12,2,
Company201,Success,4,331,209,45000000,1,6,Yes,Yes,Yes,Online,No,2,14,4,
Company202,Success,2,118,18,8000000,2,0,Yes,Yes,No,Online,No,5,11,5,
Company203,Success,3,258,44,2550000,0,0,Yes,Yes,No,Online,No,2,6,1,
Company204,Success,4,131,48,2800000,0,0,Yes,No,Yes,Online,No,1,1,0,
Company205,Success,5,222,50,,0,0,Yes,No,No,Online,No,4,No Info,6,
Company206,Success,5,56,27,8700000,2,2,Yes,No,No,Online,No,6,12,9,
Company207,Success,4,281,15,5000000,0,1,Yes,No,Yes,Online,No,3,10,8,
Company208,Success,7,331,83,5089656,0,0,Yes,No,Yes,Online,No,2,12,3,
Company209,Success,3,194,41,8500000,0,4,Yes,Yes,No,Offline,No,2,10,3,
Company210,Success,7,5,53,18000000,0,0,Yes,No,No,Online,No,3,40,2,
Company211,Success,3,109,31,12750000,0,2,Yes,No,Yes,Online,No,3,13,9,
Company212,Success,14,194,58,4000000,0,0,Yes,No,No,Offline,No,6,24,0,
Company213,Success,5,61,23,4000000,0,0,Yes,No,No,Offline,Yes,1,1,2,
Company214,Success,6,464,43,6000001,0,2,Yes,No,No,Offline,Yes,2,9,5,
Company215,Success,5,31,4,,0,0,Yes,No,No,Online,No,4,No Info,0,
Company216,Success,2,98,9,795000,0,0,Yes,No,Yes,Online,No,3,1,0,
Company217,Success,2,,,,0,0,No,No,No,Online,Yes,2,12,7,
Company218,Success,5,,,,0,0,Yes,No,Yes,Online,No,3,12,5,
Company219,Success,14,170,172,11778004,0,3,Yes,No,Yes,Online,No,2,27,0,
Company220,Success,6,294,410,4500000,1,0,Yes,No,Yes,Online,No,3,24,0,
Company221,Success,7,,,,1,0,Yes,No,Yes,Offline,No,2,1,4,
Company222,Success,No Info,-254,448,20000000,0,0,Yes,No,Yes,Offline,No,2,1,3,
Company223,Success,7,36,1,500000,0,0,No,Yes,No,Online,No,1,10,1,
Company224,Failed,5,12,,800000,1,0,Yes,Yes,No,Online,No,2,20,1,
Company225,Failed,5,-16,1,18000,2,0,Yes,Yes,No,Online,No,2,12,1,
Company226,Success,4,-29,10,11000000,0,1,Yes,No,Yes,Online,No,2,6,1,
Company227,Failed,6,0,0,150000,7,3,Yes,Yes,No,Online,No,3,14,1,
Company228,Failed,9,-133,0,4000000,1,1,Yes,No,Yes,Online,No,11,12,7,
Company229,Success,2,,,,0,0,No,Yes,Yes,Online,No,10,6.966666667,0,
Company230,Success,2,63,4,600000,3,0,No,Yes,Yes,No Info,Yes,0,12,1,
Company231,Success,2,1193,13,1000000,2,0,No,Yes,Yes,Online,Yes,2,20,4,
Company232,Success,3,207,13,3200000,6,1,Yes,No,No,Online,No,0,7.188888889,1,
Company233,Failed,No Info,13,,1000000,1,0,No,No,No,Online,No,2,4.45,0,
Company234,Success,4,388,36,15500000,0,2,Yes,No,Yes,Online,No,4,16.62222222,9,
Company235,Success,6,-96,52,3500000,0,2,No,Yes,Yes,Online,No,1,6.433333333,6,
Company236,Success,2,,,,1,0,No,No,No,Offline,No,0,12,3,
Company237,Failed,9,,,,0,0,No,No,No,Online,Yes,0,1,5,
Company238,Success,2,32,12,1200000,0,0,Yes,No,No,Online,No,0,1,2,
Company239,Success,2,40,5,455000,2,0,Yes,Yes,Yes,Online,No,0,16,5,
Company240,Success,3,603,95,8100000,0,4,No,No,No,Online,Yes,0,9.077777778,5,
Company241,Failed,7,,,,0,0,No,No,No,Online,No,1,1,1,
Company242,Success,No Info,65,8,714205,0,0,Yes,No,No,Offline,Yes,0,8.383333333,7,
Company243,Success,5,73,31,8000000,0,2,No,No,No,Online,Yes,3,14.26666667,7,
Company244,Success,4,359,297,30000000,4,1,No,No,No,Offline,Yes,0,7.8,6,
Company245,Success,2,89,6,28000,0,0,No,No,No,Online,No,0,1,0,
Company246,Success,5,127,45,,2,0,No,No,No,Online,No,0,12,7,
Company247,Success,3,359,19,,0,0,No,No,No,Online,No,0,27,2,
Company248,Success,4,511,14,3000000,1,0,Yes,No,No,Online,No,0,1,1,
Company249,Success,2,316,,,1,0,No,Yes,Yes,Online,No,0,12,0,
Company250,Success,2,40,,110000,1,0,Yes,Yes,Yes,Online,Yes,0,7,0,
Company251,Success,2,89,11,600000,1,0,Yes,Yes,No,Online,Yes,0,12,5,
Company252,Success,3,157,10,,2,2,No,No,No,Online,Yes,4,4.333333333,2,
Company253,Success,1,224,,450000,3,0,No,Yes,Yes,Online,Yes,9,2,1,
Company254,Success,5,-19,20,3600000,3,0,No,Yes,Yes,Online,Yes,0,13.06666667,7,
Company255,Success,2,138,5,2100000,0,0,No,Yes,Yes,Online,No,0,18,5,
Company256,Success,3,205,10,15000,2,0,No,Yes,No,Online,Yes,19,16,3,
Company257,Success,4,35,7,,0,0,No,Yes,Yes,Online,No,21,1,1,
Company258,Success,3,59,7,400000,2,0,No,Yes,No,Online,Yes,11,24,1,
Company259,Success,1,133,5,,1,0,Yes,No,No,Online,Yes,13,1,2,
Company260,Success,4,131,4,,2,0,No,Yes,Yes,Online,Yes,0,45,4,
Company261,Success,4,357,14,1500000,5,0,No,Yes,Yes,Online,Yes,5,10.6,3,
Company262,Success,4,-26,104,42000000,1,1,No,No,No,Online,Yes,0,6.973333333,1,
Company263,Failed,7,-3,,1300000,8,0,No,No,No,Online,Yes,0,8,0,
Company264,Failed,7,-30,,1750000,0,0,No,No,No,Online,No,1,6.9,9,
Company265,Success,9,-207,9,10000000,0,0,No,No,No,Online,No,4,3.977777778,6,
Company266,Success,No Info,-725,244,10000000,0,0,No,No,No,Online,Yes,3,10.22222222,3,
Company267,Failed,7,,,,0,0,No,No,No,Online,Yes,1,1,4,
Company268,Failed,No Info,242,1,8000000,0,0,No,No,No,Online,Yes,0,3.566666667,1,
Company269,Success,9,-391,16,27500000,1,0,No,No,No,Online,Yes,7,12.3,5,
Company270,Failed,No Info,144,,,0,0,No,No,No,Online,No,4,1,0,
Company271,Failed,3,,,,1,0,No,No,No,Online,Yes,0,1,2,
Company272,Failed,5,-14,,,0,0,No,No,No,Online,Yes,0,1,2,
Company273,Failed,7,-53,,10000,1,0,No,No,No,Online,Yes,1,1,4,
Company274,Failed,3,-243,2,600000,1,0,No,No,No,Online,Yes,6,7,9,
Company275,Failed,No Info,,,,1,0,No,No,No,Online,Yes,3,1,8,
Company276,Failed,8,,,,0,0,No,No,No,Online,Yes,0,20,7,
Company277,Failed,5,,,,0,0,No,No,No,Offline,Yes,0,1,6,
Company278,Failed,3,0,,,0,0,No,No,No,Online,Yes,0,1,2,
Company279,Failed,7,-3,,,0,0,No,No,No,Online,Yes,0,1,5,
Company280,Failed,No Info,0,,10000000,0,0,No,No,No,Offline,Yes,0,1,4,
Company281,Failed,4,0,0,1500000,1,0,No,No,No,Online,Yes,0,3,3,
Company282,Failed,7,-29,20,13200000,0,0,No,No,No,Online,Yes,7,No Info,0,
Company283,Failed,4,170,7,900000,0,0,No,No,No,Online,Yes,0,6,6,
Company284,Failed,9,-169,,,1,1,No,No,No,Online,Yes,7,24,6,
Company285,Failed,6,15,,800000,3,1,No,No,No,Online,Yes,0,1,0,
Company286,Failed,5,-8,,,1,0,No,No,No,Online,Yes,0,1,3,
Company287,Failed,2,,,,1,0,No,No,No,Online,Yes,0,12,0,
Company288,Failed,6,,,,1,0,No,No,No,Online,Yes,0,1,3,
Company289,Failed,6,-10,,500000,1,0,No,No,No,Online,Yes,0,1,0,
Company290,Failed,3,,,,1,0,No,No,No,Online,Yes,0,1,2,
Company291,Failed,5,,,,1,0,No,No,No,Offline,Yes,3,1,0,
Company292,Failed,2,-84,,,0,0,No,No,No,Online,Yes,0,1,4,
Company293,Failed,3,-13,1,620000,1,0,No,No,No,Online,Yes,2,3,4,
Company294,Failed,7,-4,,,0,0,No,No,No,Online,Yes,0,1,0,
Company295,Failed,6,,,,0,0,No,No,No,Online,Yes,0,15,4,
Company296,Failed,8,,,,1,0,No,No,No,Online,Yes,0,1,0,
Company297,Failed,6,15,,,1,0,No,No,No,Online,Yes,3,1,11,
Company298,Failed,5,-8,,250000,0,0,No,No,No,Online,Yes,0,22,4,
Company299,Success,3,13,0,250000,1,0,No,No,No,Online,Yes,0,1,8,
Company300,Success,4,-309,3,584988,1,0,No,No,No,Online,Yes,0,12,1,
Company301,Success,3,101,4,118000,3,1,No,No,No,Online,Yes,0,5,6,
Company302,Success,3,76,0,1000000,1,1,No,Yes,No,Online,No,0,1,8,
Company303,Success,4,-10,,1320384,0,0,No,Yes,No,Online,Yes,0,22,4,
Company304,Success,5,-45,5,1400000,1,0,No,No,No,Online,No,0,34,2,
Company305,Success,4,92,8,1530000,0,0,No,No,No,Online,No,0,4.75,5,
Company306,Success,4,-375,,1100000,4,4,No,Yes,No,Online,No,0,5.633333333,7,
Company307,Success,7,13,0,250000,1,0,No,Yes,No,Online,No,0,9.45,5,
Company308,Success,4,-16,6,2669209,0,1,No,Yes,No,Online,No,0,2.266666667,5,
Company309,Success,3,272,25,4000000,10,0,Yes,No,No,Online,Yes,3,3.816666667,2,
Company310,Success,7,-173,8,4000000,0,3,Yes,Yes,No,Online,Yes,2,5.777777778,6,
Company311,Success,5,110,39,595000,0,1,Yes,Yes,No,Online,Yes,4,5.522222222,9,
Company312,Success,3,484,6,5000000,11,0,No,No,No,Online,Yes,0,3,4,
Company313,Success,7,-136,3,750000,0,0,No,No,Yes,Online,Yes,3,8.706666667,0,
Company314,Success,9,75,4,5500000,0,1,No,Yes,No,Online,Yes,0,20.91111111,5,
Company315,Success,9,-14,4,7400000,0,0,No,Yes,No,Online,Yes,2,23.36666667,5,
Company316,Success,4,136,13,10000000,0,2,No,Yes,Yes,Online,Yes,0,5,11,
Company317,Success,9,327,83,17300000,0,0,No,No,Yes,Online,Yes,5,11.68333333,2,
Company318,Success,8,215,,,0,0,No,Yes,Yes,Online,Yes,1,1,0,
Company319,Success,7,-113,14,,0,0,No,Yes,Yes,Online,No,3,1,0,
Company320,Success,9,1,,30000000,0,1,No,No,No,Online,Yes,0,14.88333333,5,
Company321,Success,6,0,,560001,6,1,No,No,No,Online,Yes,2,6.833333333,6,
